Date,Close,Change,Change (%),Open,High,Low,Volume
Jul 22 2023,29727.92,-198.11,-0.66%,29912.25,30002.38,29626.86,"4,563.00"
Jul 23 2023,30073.09,345.17,1.16%,29788.31,30350.7,29733.55,"5,856.00"
Jul 24 2023,29174.26,-898.83,-2.99%,30092.86,30099.99,28850.0,"17,139.00"
Jul 25 2023,29232.12,57.86,0.20%,29172.28,29376.51,29046.0,"9,186.00"
Jul 26 2023,29337.01,104.89,0.36%,29215.7,29686.41,29089.54,"12,687.00"
Jul 27 2023,29203.15,-133.86,-0.46%,29341.33,29571.42,29075.0,"9,625.00"
Jul 28 2023,29314.67,111.52,0.38%,29211.46,29532.45,29115.32,"9,171.00"
Jul 29 2023,29361.85,47.18,0.16%,29302.07,29411.09,29253.44,"3,790.00"
Jul 30 2023,29267.67,-94.18,-0.32%,29353.98,29450.0,29033.0,"5,220.00"
Jul 31 2023,29237.28,-30.39,-0.10%,29283.17,29526.99,29102.65,"9,895.00"
Aug 01 2023,29455.98,218.7,0.75%,29225.64,29495.0,28477.0,"20,288.00"
Aug 02 2023,29159.12,-296.86,-1.01%,29737.82,30033.0,28903.79,"21,934.00"
Aug 03 2023,29195.56,36.44,0.12%,29161.94,29399.97,28938.93,"11,713.00"
Aug 04 2023,29074.67,-120.89,-0.41%,29193.68,29312.28,28747.1,"9,496.00"
Aug 05 2023,29051.69,-22.98,-0.08%,29073.83,29111.87,28946.17,"3,127.00"
Aug 06 2023,29047.09,-4.6,-0.02%,29040.48,29163.24,28955.0,"3,257.00"
Aug 07 2023,29181.78,134.69,0.46%,29042.09,29246.0,28660.53,"13,546.00"
Aug 08 2023,29780.87,599.09,2.05%,29184.74,30222.0,29104.65,"20,419.00"
Aug 09 2023,29571.98,-208.89,-0.70%,29785.69,30128.88,29344.16,"11,649.00"
Aug 10 2023,29422.83,-149.15,-0.50%,29548.98,29709.38,29306.0,"9,241.00"
Aug 11 2023,29398.69,-24.14,-0.08%,29419.19,29534.14,29213.59,"7,534.00"
Aug 12 2023,29414.45,15.76,0.05%,29397.86,29477.31,29349.98,"2,551.00"
Aug 13 2023,29279.84,-134.61,-0.46%,29416.68,29447.6,29247.15,"2,869.00"
Aug 14 2023,29411.96,132.12,0.45%,29269.11,29665.27,29072.96,"8,873.00"
Aug 15 2023,29169.64,-242.32,-0.82%,29397.85,29464.62,29046.58,"7,772.00"
Aug 16 2023,28739.65,-429.99,-1.47%,29172.69,29231.92,28705.0,"12,319.00"
Aug 17 2023,26647.6,-2092.05,-7.28%,28700.0,28751.84,25234.76,"35,467.00"
Aug 18 2023,26053.07,-594.53,-2.23%,26627.96,26834.37,25610.0,"26,181.00"
Aug 19 2023,26092.12,39.05,0.15%,26054.24,26269.11,25793.11,"8,276.00"
Aug 20 2023,26175.07,82.95,0.32%,26081.53,26296.78,25975.01,"5,479.00"
Aug 21 2023,26120.55,-54.52,-0.21%,26177.93,26260.25,25814.0,"11,341.00"
Aug 22 2023,25988.82,-131.73,-0.50%,26136.24,26137.99,25350.0,"15,311.00"
Aug 23 2023,26445.97,457.15,1.76%,26053.69,26818.28,25796.47,"19,947.00"
Aug 24 2023,26177.91,-268.06,-1.01%,26433.39,26567.38,25850.0,"12,703.00"
Aug 25 2023,26035.37,-142.54,-0.54%,26171.54,26294.53,25750.0,"13,929.00"
Aug 26 2023,26004.13,-31.24,-0.12%,26045.0,26115.44,25971.44,"2,347.00"
Aug 27 2023,26088.93,84.8,0.33%,26000.52,26171.87,25961.81,"2,794.00"
Aug 28 2023,26100.43,11.5,0.04%,26061.74,26232.88,25850.0,"8,013.00"
Aug 29 2023,27701.0,1600.57,6.13%,26096.77,28184.89,25903.18,"28,321.00"
Aug 30 2023,27317.15,-383.85,-1.39%,27722.6,27775.0,27015.75,"13,414.00"
Aug 31 2023,25946.63,-1370.52,-5.02%,27297.88,27576.99,25660.61,"18,973.00"
Sep 01 2023,25826.51,-120.12,-0.46%,25949.3,26142.28,25307.37,"18,859.00"
Sep 02 2023,25861.76,35.25,0.14%,25794.32,25982.48,25707.3,"4,807.00"
Sep 03 2023,25972.72,110.96,0.43%,25857.29,26123.0,25792.29,"4,612.00"
Sep 04 2023,25807.15,-165.57,-0.64%,25961.1,26093.07,25627.0,"5,521.00"
Sep 05 2023,25792.14,-15.01,-0.06%,25821.61,25884.04,25551.36,"7,776.00"
Sep 06 2023,25764.05,-28.09,-0.11%,25771.5,26025.78,25358.0,"11,524.00"
Sep 07 2023,26194.75,430.7,1.67%,25746.84,26440.55,25595.8,"13,838.00"
Sep 08 2023,25905.0,-289.75,-1.11%,26259.44,26460.41,25640.1,"14,451.00"
Sep 09 2023,25889.96,-15.04,-0.06%,25897.72,25942.69,25791.45,"2,893.00"
Sep 10 2023,25840.3,-49.66,-0.19%,25900.69,26023.89,25578.01,"5,970.00"
Sep 11 2023,25119.01,-721.29,-2.79%,25843.5,25891.6,24900.0,"18,195.00"
Sep 12 2023,25860.19,741.18,2.95%,25149.46,26556.91,25120.76,"25,356.00"
Sep 13 2023,26223.57,363.38,1.41%,25847.49,26413.59,25763.43,"13,533.00"
Sep 14 2023,26529.95,306.38,1.17%,26213.24,26869.06,26128.25,"16,892.00"
Sep 15 2023,26638.42,108.47,0.41%,26515.37,26892.65,26213.96,"12,408.00"
Sep 16 2023,26557.49,-80.93,-0.30%,26594.35,26777.0,26453.32,"5,110.00"
Sep 17 2023,26508.74,-48.75,-0.18%,26565.97,26626.49,26405.04,"4,018.00"
Sep 18 2023,26752.51,243.77,0.92%,26534.23,27427.34,26382.13,"20,872.00"
Sep 19 2023,27222.31,469.8,1.76%,26773.03,27500.0,26666.93,"18,288.00"
Sep 20 2023,27150.0,-72.31,-0.27%,27216.44,27393.78,26798.98,"15,411.00"
Sep 21 2023,26575.31,-574.69,-2.12%,27104.15,27163.48,26359.7,"15,133.00"
Sep 22 2023,26577.57,2.26,0.01%,26596.54,26742.86,26467.94,"10,255.00"
Sep 23 2023,26572.88,-4.69,-0.02%,26594.25,26638.58,26513.0,"3,209.00"
Sep 24 2023,26256.79,-316.09,-1.19%,26588.28,26731.1,26118.86,"6,795.00"
Sep 25 2023,26291.17,34.38,0.13%,26226.3,26444.95,25983.78,"14,215.00"
Sep 26 2023,26206.43,-84.74,-0.32%,26289.7,26397.59,26080.0,"8,830.00"
Sep 27 2023,26346.54,140.11,0.53%,26219.98,26830.0,26088.37,"17,459.00"
Sep 28 2023,27027.7,681.16,2.59%,26362.98,27313.86,26321.37,"23,560.00"
Sep 29 2023,26917.92,-109.78,-0.41%,27020.5,27238.9,26661.71,"15,680.00"
Sep 30 2023,26979.47,61.55,0.23%,26898.92,27097.25,26884.86,"5,365.00"
Oct 01 2023,27971.42,991.95,3.68%,26960.71,28062.62,26955.25,"10,870.00"
Oct 02 2023,27616.72,-354.7,-1.27%,28021.39,28613.37,27302.3,"33,175.00"
Oct 03 2023,27453.49,-163.23,-0.59%,27544.11,27672.12,27160.47,"17,227.00"
Oct 04 2023,27791.91,338.42,1.23%,27427.58,27842.38,27208.65,"12,680.00"
Oct 05 2023,27416.08,-375.83,-1.35%,27762.33,28140.0,27358.05,"17,449.00"
Oct 06 2023,27951.28,535.2,1.95%,27423.12,28288.88,27173.41,"16,637.00"
Oct 07 2023,27968.6,17.32,0.06%,27931.65,28040.84,27861.2,"4,448.00"
Oct 08 2023,27944.62,-23.98,-0.09%,27972.78,28109.94,27708.6,"5,184.00"
Oct 09 2023,27595.45,-349.17,-1.25%,27932.78,28003.7,27268.63,"12,592.00"
Oct 10 2023,27416.66,-178.79,-0.65%,27609.55,27739.94,27291.81,"12,603.00"
Oct 11 2023,26843.65,-573.01,-2.09%,27408.54,27478.61,26521.32,"20,703.00"
Oct 12 2023,26739.42,-104.23,-0.39%,26852.24,26939.55,26537.72,"10,214.00"
Oct 13 2023,26845.07,105.65,0.40%,26748.93,27122.24,26662.62,"11,535.00"
Oct 14 2023,26859.78,14.71,0.05%,26867.03,26988.12,26797.0,"3,791.00"
Oct 15 2023,27169.31,309.53,1.15%,26851.22,27301.37,26806.06,"7,691.00"
Oct 16 2023,28509.52,1340.21,4.93%,27177.93,30000.0,27135.92,"42,500.00"
Oct 17 2023,28417.12,-92.4,-0.32%,28538.07,28637.21,28083.19,"17,799.00"
Oct 18 2023,28323.44,-93.68,-0.33%,28699.2,28938.2,28151.6,"9,505.00"
Oct 19 2023,28698.45,375.01,1.32%,28315.97,28938.96,28122.57,"15,998.00"
Oct 20 2023,29708.09,1009.64,3.52%,28775.28,30248.0,28591.85,"25,746.00"
Oct 21 2023,29924.88,216.79,0.73%,29672.78,30369.0,29475.06,"8,976.00"
Oct 22 2023,29999.26,74.38,0.25%,29905.41,30275.0,29670.0,"7,606.00"
Oct 23 2023,32926.37,2927.11,9.76%,29976.5,35000.0,29890.89,"57,395.00"
Oct 24 2023,33832.1,905.73,2.75%,33090.95,35157.23,32851.45,"49,317.00"
Oct 25 2023,34463.15,631.05,1.87%,33935.9,35144.0,33690.91,"23,945.00"
Oct 26 2023,34157.63,-305.52,-0.89%,34516.13,34843.04,33735.86,"20,574.00"
Oct 27 2023,33919.4,-238.23,-0.70%,34128.38,34249.99,33400.0,"17,966.00"
Oct 28 2023,34097.59,178.19,0.53%,33901.31,34500.0,33867.38,"5,992.00"
Oct 29 2023,34526.42,428.83,1.26%,34074.17,34763.0,33937.31,"7,515.00"
